latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-24.83654,44.45549,343.97,0.41,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,304.19,4.43,D
-24.37453,47.1138,334.8,0.52,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,301.29,6.02,D
-24.69254,45.25843,339.7,0.43,0.38,2025-11-01,1053,N,VIIRS,n,2.0NRT,305.54,5.1,D
-24.36203,47.09512,335.12,0.52,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,301.38,4.84,D
-24.84662,44.26802,349.16,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,310.83,9.52,D
-24.34232,47.05095,342.6,0.52,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,301.21,8.43,D
-24.33674,47.05974,333.72,0.52,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,298.38,6.74,D
-24.33853,47.05003,343.52,0.52,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,299.1,8.43,D
-24.36898,46.88383,337.54,0.51,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,296.77,5.45,D
-24.36517,46.88323,367,0.51,0.41,2025-11-01,1053,N,VIIRS,h,2.0NRT,333.12,173.25,D
-24.47609,46.26913,342.56,0.47,0.4,2025-11-01,1053,N,VIIRS,n,2.0NRT,313.38,6.82,D
-24.32794,47.04291,346.88,0.52,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,303.15,29.59,D
-24.32418,47.04184,336.37,0.52,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,303.48,29.59,D
-24.77655,44.3529,338.79,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,307.27,2.16,D
-24.76876,44.29389,346.64,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,305.34,7.81,D
-24.76536,44.29323,354.11,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,307,24.5,D
-24.25181,46.99596,337.64,0.52,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,305.61,10.44,D
-24.2703,46.85152,340.57,0.51,0.41,2025-11-01,1053,N,VIIRS,l,2.0NRT,312.19,4.21,D
-24.74594,43.94311,336.49,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,304.39,2.15,D
-24.67766,44.29643,343.12,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,304.17,2.91,D
-24.6623,44.34683,345.06,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,303.93,19.53,D
-24.66549,44.30634,345.93,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,308.72,17.32,D
